ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2022,1,15.105,6.256,42.31,domingo,2022 Jan 02 06:30:00 PM,18.21
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753009,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2022,1,6.22,2.452,51.24,sábado,2022 Jan 29 07:15:00 PM,5.38
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2022,1,14.414,8.102,96.7,jueves,2022 Jan 06 06:30:00 PM,6.01
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2022,1,7.662,3.177,36.3,jueves,2022 Jan 13 07:00:00 PM,8.55
19,CAUCA,19318,GUAPI,19318013,SAN ANTONIO DE GUAJUÍ (GUAPI - CAUCA),2022,1,11.541,4.806,48.16,viernes,2022 Jan 07 06:30:00 PM,9.41
19,CAUCA,19418,LÓPEZ DE MICAY,19418011,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2022,1,5.401,2.361,30.53,martes,2022 Jan 25 04:15:00 PM,7.34
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2022,1,3.673,1.647,24.35,miércoles,2022 Jan 05 06:45:00 PM,6.46
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2022,1,6.526,1.99,44.0,domingo,2022 Jan 30 07:15:00 PM,6.23
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2022,1,8.262,2.868,61.15,viernes,2022 Jan 21 06:45:00 PM,5.3
19,CAUCA,19418,LÓPEZ DE MICAY,19418015,SAN ISIDRO (LÓPEZ DE MICAY - CAUCA),2022,1,1.053,570.0,6.34,jueves,2022 Jan 13 07:00:00 PM,7.21
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2022,1,6.137,2.391,56.48,domingo,2022 Jan 23 07:00:00 PM,4.55
